"«За два дня в Минск из Киева вернули 47 россиян, которые летели рейсами „Белавиа“». Госпогранкомитет о ситуации в пунктах пропуска","Вчера в некоторых украинских регионах было введено военное положение. И уже вечером с одного из рейсов авиакомпании «Белавиа», следовавшего из Минска в Киев, вернули 12 граждан Российской Федерации. С","""https://content.onliner.by/news/550x298/83085a11a08597ff79c2df4dca8fe85a.jpeg"
«Отцы с колясками и латте в руках». Возможен ли в Беларуси скандинавский подход к декретному отпуску для мужчин?,"На эмблеме форума нарисованы двое мужчин — один в кухонном фартуке готовит еду, второй заботливо кормит младенца. Да, все настолько просто и одновременно сложно. Бытовые обязанности и уход за детьми (","""https://content.onliner.by/news/submain/83085a11a08597ff79c2df4dca8fe85a.jpeg"
«Доллар? Растет гад!» Играем с прохожими в ассоциации,"Мы вышли на минские улицы, чтобы поиграть с прохожими в старую добрую игру в ассоциации. В ассоциации на любые темы, которые так или иначе связаны с нами. Сегодня спрашиваем у минчан, какие мысли прих","""https://content.onliner.by/news/550x298/c01b20b28feb73d0c7ca8ba4590cb582.jpeg"
Так будет дорожать проезд или нет? Что говорит Мингорисполком,"Несмотря на то, что бензин в стране регулярно дорожает на копейку, стоимость проезда в общественном транспорте пока остается стабильной. В этом году не было ни одного повышения цен на талончики и жето","""https://content.onliner.by/news/submain/c01b20b28feb73d0c7ca8ba4590cb582.jpeg"
"«Уходят друзья, знакомые, родные, и чем дальше, тем больше такого». Лявон Вольский выпустил клип на песню из нового альбома","Лявон Вольский выпустил клип на песню «Зніклыя людзі» из нового альбома «Гравітацыя», который должен стать финальным в трилогии, начатой дисками «Грамадазнаўства» (2014) и «Псіхасаматыка» (2016). Виде","""https://content.onliner.by/news/550x298/aee7ff42a87927fffe478eadffb6d1c0.jpeg"
Трактор пропахал белорусское поле — получился самый большой QR-код в мире,"Трактор с огромным навесным оборудованием ездил по полю не случайно, конечно. Более того, эта попытка будет направлена в Книгу рекордов Гиннесса. По словам организаторов мероприятия, несколько лет наз","""https://content.onliner.by/news/submain/aee7ff42a87927fffe478eadffb6d1c0.jpeg"
Курсы валют: доллар со старта набрал больше копейки,"На Белорусской валютно-фондовой бирже сегодня фактически продолжился вчерашний сценарий. Российский рубль, который вчера скинул больше двух копеек, сегодня набрал почти копейку. Доллар и евро продолжа","""https://content.onliner.by/news/550x298/d412441df019bb694a0e566989bee13f.jpeg"
"«Домашнее насилие? Я выросла в СССР, тогда и слова такого не было». Послы Великобритании, Франции и Швеции сыграли в пьесе против гендерного насилия","«Семь» — это документальная пьеса, которая рассказывает истории семи женщин. То есть это не вымышленные сюжеты, не плод фантазии шведского автора Хедды Крауш Шорген, а фрагменты интервью реальных женщ","""https://content.onliner.by/news/submain/d412441df019bb694a0e566989bee13f.jpeg"
В Украине вводится военное положение,Президент Украины Петр Порошенко подписал указ о введении военного положения в стране на основе решения Совета национальной безопасности и обороны Украины. Этот документ одобрила Верховная рада. Полож,"""https://content.onliner.by/news/550x298/0ca2a09ee5058e30c88970ccb218fccd.jpeg"
У браконьера из Докшиц нашли части миномета,"Сотрудники Витебской областной инспекции охраны животного и растительного мира задержали браконьера, который охотился на территории Березинского заповедника. Задержанным оказался житель Докшиц, в доме","""https://content.onliner.by/news/submain/0ca2a09ee5058e30c88970ccb218fccd.jpeg"
"Румас о зарплате на 2019 год: не менее 1025 рублей средняя, 820 у бюджетников","Сегодня президент страны Александр Лукашенко проводил большое совещание по экономике, на котором раскритиковал правительство. После него премьер-министр Сергей Румас рассказал, на какую среднюю зарпла","""https://content.onliner.by/news/550x298/d7eed79d49ad97180289f8e5ded75070.jpeg"
Нацбанк: «Мы ожидаем выхода на однозначную величину по ставке рефинансирования в следующем году»,"Об этом заявил глава Национального банка Павел Каллаур. По его словам, в будущем году регулятор видит возможность снижения ставки рефинансирования. Правда, с оговоркой: все будет зависеть от того, как","""https://content.onliner.by/news/submain/d7eed79d49ad97180289f8e5ded75070.jpeg"
"Двое белорусов пропали в Москве: один вышел на связь спустя месяц, второго не могут найти до сих пор","24-летний Денис Зинчук из деревни Осовцы Дрогичинского района работал на автомойке в Москве. С 17 октября парень перестал выходить на связь. К счастью, сегодня он нашелся. А вот кобринчанин Александр ","""https://content.onliner.by/news/550x298/6f65cb476d01b91b74670c78dbc5ecd2.jpeg"
"«Истязал дочь, подвергал ее избиению, причинял телесные повреждения». Подробности захвата заложника в Заславле","Следственный комитет завершил расследование уголовного дела о происшествии в отделении банка в Заславле, где 18 июля 46-летний мужчина взял в заложники свою 23-летнюю дочь. В ходе проведения специальн","""https://content.onliner.by/news/submain/6f65cb476d01b91b74670c78dbc5ecd2.jpeg"
"«Почти полсотни поручений как выполненные, хотя до их выполнения далеко». Лукашенко раскритиковал правительство","Сегодня Александр Лукашенко заслушивал доклад правительства, Национального банка, облисполкомов и Мингорисполкома об оценке итогов 2018 года и проектах прогнозных документов социально-экономического р","""https://content.onliner.by/news/550x298/a301ed6dd25d929e902289766237c979.jpeg"
Как провести неделю с умом? Выбор Onliner,,"""https://content.onliner.by/news/submain/a301ed6dd25d929e902289766237c979.jpeg"
"Курсы валют: нефть скачет, доллар со старта набрал больше копейки, российский рубль потерял больше двух",,"""https://content.onliner.by/news/550x298/026099bf7f32a014afd545f79c807fcc.jpeg"
«Белпочта» выступает за унификацию таможенных лимитов на посылки с соседями по ЕАЭС,,"""https://content.onliner.by/news/submain/026099bf7f32a014afd545f79c807fcc.jpeg"
Кто победит на детском «Евровидении»? Рассказываем про фаворитов и делаем ставки,,"""https://content.onliner.by/news/550x298/9df14e022b190d9d58dac9eae32a8b05.jpeg"
"Отношение к лоукостам, SkyWay и госпошлине: чем запомнился Анатолий Сивак на посту министра транспорта?",,"""https://content.onliner.by/news/submain/9df14e022b190d9d58dac9eae32a8b05.jpeg"
Россельхознадзор ввел ограничения на поставки в РФ белорусской мясной продукции,,"""https://content.onliner.by/news/550x298/152582ebeb22d3e5ed5ce5d243782374.png"
Новым мэром Минска назначен Анатолий Сивак,,"""https://content.onliner.by/news/submain/152582ebeb22d3e5ed5ce5d243782374.png"
У нас есть немного drum’n’bass для вас... Трансляция из офиса Onliner,,"""https://content.onliner.by/news/550x298/6413a219045108be367b933bb20bd984.jpeg"
Средняя зарплата белоруса — 999 рублей 70 копеек. Кто больше?,,"""https://content.onliner.by/news/submain/6413a219045108be367b933bb20bd984.jpeg"
"Новую погоду начинаем с воскресенья. Ждем снег, дождь и морозы до 16",,"""https://content.onliner.by/news/550x298/7760eb88ec14ceabb2eade4ef001d8bd.jpeg"
"В Минске задержали вора в законе Рашада Гянджинского, который был «смотрящим» в Украине",,"""https://content.onliner.by/news/submain/7760eb88ec14ceabb2eade4ef001d8bd.jpeg"
Андрей Кутило снял лучший документальный фильм по версии IDFA. Что это и о чем?,,"""https://content.onliner.by/news/550x298/4081d8c14fdddfd9fff9efded7d764d7.jpeg"
